MODULE	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	sample_ids	p_Control	N_Control	p_Jelly	N_Jelly
Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	3.0476192901586456	0.08085558629385306	0.14752152859540316	Control	M00093	T3J_bin_6,T3J_bin_8,T3J_bin_16,T3J_bin_1,T3J_bin_17,T3J_bin_11,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_28,T3C_bin_5,T3C_bin_8,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_17,T3C_bin_43,T3C_bin_30,T3C_bin_48,T3C_bin_33,T3C_bin_24,T3C_bin_47	0.625	48	0.375	16
Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	2.963981627571445	0.08513805121661913	0.14752152859540316	Control	M00019	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_1,T3J_bin_17,T3J_bin_11,T3J_bin_18,T3J_bin_13,T3J_bin_5,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_45,T3C_bin_37,T3C_bin_43,T3C_bin_48,T3C_bin_33,T3C_bin_3,T3C_bin_46,T3C_bin_24,T3C_bin_23	0.875	48	0.6875	16
Cytochrome o ubiquinol oxidase	2.914390348321238	0.08779258511047272	0.14752152859540316	Jelly	M00417	T3J_bin_3,T3J_bin_18,T3C_bin_21	0.02083333333333333	48	0.125	16
Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	2.914390348321238	0.08779258511047272	0.14752152859540316	Jelly	M00533	T3J_bin_3,T3J_bin_17,T3C_bin_38	0.02083333333333333	48	0.125	16
Multidrug resistance, efflux pump MexJK-OprM	2.914390348321238	0.08779258511047272	0.14752152859540316	Jelly	M00642	T3J_bin_8,T3J_bin_18,T3C_bin_21	0.02083333333333333	48	0.125	16
Glycine cleavage system	2.647523340013466	0.10371136317910312	0.1707139717409108	Control	M00621	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_16,T3J_bin_18,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_7,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_15,T3C_bin_45,T3C_bin_43,T3C_bin_33,T3C_bin_42,T3C_bin_3,T3C_bin_46,T3C_bin_47	0.6666666666666666	48	0.4375	16
Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	2.351020454106144	0.1252010259206878	0.20196526659056233	Jelly	M00123	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_9,T3J_bin_18,T3J_bin_10,T3C_bin_7,T3C_bin_16,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_2,T3C_bin_1,T3C_bin_33,T3C_bin_6	0.1875	48	0.375	16
Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	2.206924823098798	0.13739230736687202	0.20908619461703873	Control	M00535	T3C_bin_31,T3C_bin_5,T3C_bin_8,T3C_bin_12,T3C_bin_17,T3C_bin_46	0.125	48	0	16
Proline metabolism	2.206924823098798	0.13739230736687202	0.20908619461703873	Control	M00972	T3C_bin_5,T3C_bin_8,T3C_bin_4,T3C_bin_12,T3C_bin_26,T3C_bin_47	0.125	48	0	16
Glycogen degradation, glycogen => glucose-6P	2.206924798010305	0.1373923096017979	0.20908619461703873	Jelly	M00855	T3J_bin_8,T3J_bin_18,T3J_bin_5,T3C_bin_37,T3C_bin_33,T3C_bin_23	0.0625	48	0.1875	16
Pantothenate biosynthesis, valine/L-aspartate => pantothenate	2.0915037710682367	0.1481202091451107	0.2212378150307261	Control	M00119	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_11,T3J_bin_18,T3C_bin_36,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_41,T3C_bin_21,T3C_bin_2,T3C_bin_32,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_8,T3C_bin_10,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_37,T3C_bin_48,T3C_bin_33,T3C_bin_3,T3C_bin_47	0.5208333333333334	48	0.3125	16
Fatty acid biosynthesis, initiation	2.0210526325508926	0.15513156862782587	0.22749732704687267	Control	M00082	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_16,T3J_bin_1,T3J_bin_17,T3J_bin_18,T3J_bin_10,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_7,T3C_bin_20,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_8,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_17,T3C_bin_15,T3C_bin_37,T3C_bin_43,T3C_bin_30,T3C_bin_48,T3C_bin_33,T3C_bin_42,T3C_bin_46,T3C_bin_24,T3C_bin_47,T3C_bin_23	0.75	48	0.5625	16
Assimilatory nitrate reduction, nitrate => ammonia	1.8079259272239194	0.17875723482216713	0.2574627506926417	Control	M00531	T3C_bin_7,T3C_bin_41,T3C_bin_35,T3C_bin_2,T3C_bin_34	0.10416666666666669	48	0	16
beta-Oxidation, acyl-CoA synthesis	1.777777784359468	0.18242243864213806	0.25813221339917247	Control	M00086	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_16,T3J_bin_9,T3J_bin_11,T3J_bin_18,T3J_bin_13,T3J_bin_12,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_37,T3C_bin_43,T3C_bin_48,T3C_bin_42,T3C_bin_3,T3C_bin_6,T3C_bin_46,T3C_bin_47,T3C_bin_23	0.7916666666666666	48	0.625	16
Pentose phosphate pathway (Pentose phosphate cycle)	1.7024637828311742	0.19196608301683654	0.26105560092879526	Jelly	M00004	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_1,T3J_bin_9,T3J_bin_17,T3J_bin_13,T3J_bin_5,T3J_bin_10,T3J_bin_14,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_8,T3C_bin_12,T3C_bin_39,T3C_bin_45,T3C_bin_33,T3C_bin_3,T3C_bin_6,T3C_bin_24	0.5	48	0.6875	16
Tryptophan biosynthesis, chorismate => tryptophan	1.5766717294591417	0.2092407560918674	0.26105560092879526	Control	M00023	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_1,T3J_bin_9,T3J_bin_17,T3J_bin_11,T3J_bin_18,T3J_bin_10,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_12,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_45,T3C_bin_37,T3C_bin_43,T3C_bin_48,T3C_bin_33,T3C_bin_42,T3C_bin_3,T3C_bin_6,T3C_bin_46,T3C_bin_24,T3C_bin_47	0.8333333333333334	48	0.6875	16
Betaine biosynthesis, choline => betaine	1.5766717294591395	0.2092407560918678	0.26105560092879526	Jelly	M00555	T3J_bin_6,T3J_bin_3,T3J_bin_7,T3J_bin_18,T3J_bin_5,T3C_bin_16,T3C_bin_20,T3C_bin_35,T3C_bin_21,T3C_bin_2,T3C_bin_28,T3C_bin_15,T3C_bin_42	0.16666666666666666	48	0.3125	16
Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	1.5766717294591395	0.2092407560918678	0.26105560092879526	Jelly	M00577	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_9,T3J_bin_10,T3C_bin_7,T3C_bin_16,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_2,T3C_bin_1,T3C_bin_6	0.16666666666666666	48	0.3125	16
Cytochrome bd ubiquinol oxidase	1.4222578276101954	0.2330321329746256	0.26105560092879526	Jelly	M00153	T3J_bin_3,T3J_bin_18,T3C_bin_21,T3C_bin_23	0.04166666666666666	48	0.125	16
Glycogen biosynthesis, glucose-1P => glycogen/starch	1.4222578276101954	0.2330321329746256	0.26105560092879526	Jelly	M00854	T3J_bin_8,T3J_bin_5,T3C_bin_37,T3C_bin_33	0.04166666666666666	48	0.125	16
NAD biosynthesis, tryptophan => quinolinate => NAD	1.4222578276101954	0.2330321329746256	0.26105560092879526	Jelly	M00912	T3J_bin_8,T3J_bin_16,T3C_bin_43,T3C_bin_30	0.04166666666666666	48	0.125	16
Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	1.4222578276101954	0.2330321329746256	0.26105560092879526	Jelly	M00878	T3J_bin_7,T3J_bin_17,T3C_bin_20,T3C_bin_35	0.04166666666666666	48	0.125	16
Anoxygenic photosynthesis in green nonsulfur bacteria	1.4222305060762412	0.2330366213758004	0.26105560092879526	Control	M00613	T3C_bin_20,T3C_bin_19,T3C_bin_22,T3C_bin_45	0.08333333333333333	48	0	16
Serine biosynthesis, glycerate-3P => serine	1.4222238383699155	0.2330377167672255	0.26105560092879526	Control	M00020	T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_1,T3J_bin_9,T3J_bin_17,T3J_bin_18,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_22,T3C_bin_28,T3C_bin_13,T3C_bin_10,T3C_bin_38,T3C_bin_39,T3C_bin_15,T3C_bin_45,T3C_bin_43,T3C_bin_33,T3C_bin_42,T3C_bin_3,T3C_bin_46	0.6666666666666666	48	0.5	16
Anoxygenic photosynthesis in purple bacteria	1.422222397881943	0.23303795341586353	0.26105560092879526	Control	M00612	T3J_bin_7,T3C_bin_20,T3C_bin_19,T3C_bin_22,T3C_bin_28,T3C_bin_15,T3C_bin_45,T3C_bin_43,T3C_bin_42,T3C_bin_3	0.1875	48	0.0625	16
Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	1.422222397881943	0.23303795341586353	0.26105560092879526	Control	M00924	T3J_bin_14,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_35,T3C_bin_32,T3C_bin_34,T3C_bin_38	0.1875	48	0.0625	16
D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	1.422222397881943	0.23303795341586353	0.26105560092879526	Control	M00061	T3J_bin_7,T3C_bin_40,T3C_bin_20,T3C_bin_35,T3C_bin_32,T3C_bin_31,T3C_bin_38,T3C_bin_17,T3C_bin_45,T3C_bin_42	0.1875	48	0.0625	16
Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	1.4222222334114232	0.23303798043570115	0.26105560092879526	Control	M00308	T3J_bin_8,T3J_bin_7,T3C_bin_40,T3C_bin_20,T3C_bin_35,T3C_bin_19,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_27,T3C_bin_31,T3C_bin_38,T3C_bin_17,T3C_bin_45,T3C_bin_24	0.2708333333333333	48	0.125	16
dTDP-L-rhamnose biosynthesis	1.4222222334114232	0.23303798043570115	0.26105560092879526	Control	M00793	T3J_bin_16,T3J_bin_2,T3C_bin_7,T3C_bin_20,T3C_bin_35,T3C_bin_31,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_26,T3C_bin_17,T3C_bin_37,T3C_bin_30,T3C_bin_33	0.2708333333333333	48	0.125	16
Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	1.3544973588861011	0.24449341864488228	0.2701364056085722	Control	M00880	T3J_bin_7,T3J_bin_9,T3J_bin_17,T3J_bin_11,T3J_bin_18,T3J_bin_13,T3J_bin_10,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_27,T3C_bin_22,T3C_bin_28,T3C_bin_10,T3C_bin_38,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_45,T3C_bin_43,T3C_bin_42,T3C_bin_3,T3C_bin_47,T3C_bin_23	0.6041666666666666	48	0.4375	16
CMP-KDO biosynthesis	1.3083020450477696	0.25270230958109624	0.27543320479187366	Control	M00063	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_1,T3J_bin_2,T3J_bin_11,T3J_bin_18,T3J_bin_5,T3J_bin_10,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_28,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_30,T3C_bin_48,T3C_bin_33,T3C_bin_42,T3C_bin_3,T3C_bin_46,T3C_bin_47	0.7708333333333334	48	0.625	16
Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	1.1576286472789044	0.28195788152870516	0.3032227480645354	Control	M00125	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_16,T3J_bin_1,T3J_bin_2,T3J_bin_18,T3J_bin_10,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_28,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_43,T3C_bin_48,T3C_bin_33,T3C_bin_42,T3C_bin_3	0.7083333333333334	48	0.5625	16
ADP-L-glycero-D-manno-heptose biosynthesis	1.10852465998461	0.2924028796700539	0.3082032178548598	Control	M00064	T3J_bin_6,T3J_bin_3,T3J_bin_16,T3J_bin_11,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_21,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_1,T3C_bin_27,T3C_bin_28,T3C_bin_38,T3C_bin_39,T3C_bin_33,T3C_bin_24,T3C_bin_23	0.3958333333333333	48	0.25	16
Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	1.0971428614904328	0.2948939828613688	0.3082032178548598	Control	M00124	T3J_bin_3,T3J_bin_8,T3C_bin_7,T3C_bin_16,T3C_bin_41,T3C_bin_2,T3C_bin_1,T3C_bin_28,T3C_bin_10,T3C_bin_39,T3C_bin_15,T3C_bin_48,T3C_bin_33,T3C_bin_46	0.25	48	0.125	16
C10-C20 isoprenoid biosynthesis, archaea	1.049184356928956	0.3056950115741444	0.3082032178548598	Control	M00365	T3C_bin_31,T3C_bin_13,T3C_bin_30	0.0625	48	0	16
C4-dicarboxylic acid cycle, NADP - malic enzyme type	1.049184356928956	0.3056950115741444	0.3082032178548598	Control	M00172	T3C_bin_11,T3C_bin_35,T3C_bin_32	0.0625	48	0	16
Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	1.049184356928956	0.3056950115741444	0.3082032178548598	Control	M00913	T3C_bin_1,T3C_bin_22,T3C_bin_10	0.0625	48	0	16
Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	0.9275362319702705	0.3355039530505347	0.3292741904020944	Control	M00432	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_1,T3J_bin_9,T3J_bin_11,T3J_bin_5,T3J_bin_10,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_8,T3C_bin_10,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_45,T3C_bin_37,T3C_bin_48,T3C_bin_33,T3C_bin_42,T3C_bin_24	0.75	48	0.625	16
Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	0.9275362319702705	0.3355039530505347	0.3292741904020944	Control	M00022	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_16,T3J_bin_1,T3J_bin_9,T3J_bin_13,T3J_bin_10,T3J_bin_12,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_22,T3C_bin_28,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_39,T3C_bin_26,T3C_bin_15,T3C_bin_45,T3C_bin_37,T3C_bin_43,T3C_bin_30,T3C_bin_33,T3C_bin_3,T3C_bin_46,T3C_bin_24	0.75	48	0.625	16
Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	0.9148084767522783	0.33884179917758406	0.3292741904020944	Control	M00053	T3J_bin_6,T3J_bin_3,T3J_bin_7,T3J_bin_16,T3J_bin_1,T3J_bin_9,T3J_bin_17,T3J_bin_13,T3J_bin_5,T3J_bin_10,T3J_bin_12,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_37,T3C_bin_43,T3C_bin_30,T3C_bin_48,T3C_bin_33,T3C_bin_3,T3C_bin_46,T3C_bin_47,T3C_bin_23	0.8541666666666666	48	0.75	16
CAM (Crassulacean acid metabolism), dark	0.831172052348995	0.361933836684066	0.3475271224840161	Control	M00168	T3J_bin_3,T3J_bin_8,T3J_bin_1,T3J_bin_5,T3C_bin_11,T3C_bin_35,T3C_bin_21,T3C_bin_32,T3C_bin_31,T3C_bin_5,T3C_bin_8,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_15,T3C_bin_43,T3C_bin_33,T3C_bin_6,T3C_bin_47	0.375	48	0.25	16
Tyrosine degradation, tyrosine => homogentisate	0.7619048335729225	0.38273306650623806	0.36159071140748544	Jelly	M00044	T3J_bin_3,T3J_bin_17,T3J_bin_18,T3C_bin_40,T3C_bin_20,T3C_bin_35,T3C_bin_22,T3C_bin_23	0.10416666666666669	48	0.1875	16
Proline degradation, proline => glutamate	0.7529411766900366	0.385546631501861	0.36159071140748544	Jelly	M00970	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_16,T3J_bin_18,T3J_bin_13,T3J_bin_5,T3J_bin_10,T3C_bin_16,T3C_bin_20,T3C_bin_35,T3C_bin_2,T3C_bin_34,T3C_bin_1,T3C_bin_22,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_4,T3C_bin_12,T3C_bin_26,T3C_bin_17,T3C_bin_15,T3C_bin_45,T3C_bin_43,T3C_bin_30,T3C_bin_33,T3C_bin_47,T3C_bin_23	0.4375	48	0.5625	16
Histidine biosynthesis, PRPP => histidine	0.7256235830704291	0.39430544426172137	0.3645551021023298	Control	M00026	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_1,T3J_bin_9,T3J_bin_17,T3J_bin_11,T3J_bin_13,T3J_bin_5,T3J_bin_10,T3C_bin_36,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_45,T3C_bin_37,T3C_bin_43,T3C_bin_33,T3C_bin_3,T3C_bin_46,T3C_bin_47	0.7916666666666666	48	0.6875	16
F420 biosynthesis, archaea	0.6881754537433539	0.40678567068244414	0.3645551021023298	Control	M00378	T3C_bin_2,T3C_bin_3	0.04166666666666666	48	0	16
Acylglycerol degradation	0.6881720464203803	0.40678683223612333	0.3645551021023298	Jelly	M00098	T3J_bin_9,T3C_bin_41	0.02083333333333333	48	0.0625	16
Arginine succinyltransferase pathway, arginine => glutamate	0.6881720464203803	0.40678683223612333	0.3645551021023298	Jelly	M00879	T3J_bin_8,T3C_bin_33	0.02083333333333333	48	0.0625	16
C10-C20 isoprenoid biosynthesis, bacteria	0.6508481414318266	0.41980961001311057	0.3680470596755082	Jelly	M00364	T3J_bin_6,T3J_bin_18,T3C_bin_31,T3C_bin_13,T3C_bin_30	0.0625	48	0.125	16
Purine degradation, xanthine => urea	0.6508481414318266	0.41980961001311057	0.3680470596755082	Jelly	M00546	T3J_bin_3,T3J_bin_18,T3C_bin_7,T3C_bin_16,T3C_bin_2	0.0625	48	0.125	16
Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	0.5655711957292807	0.45202419198027344	0.3773190835929402	Jelly	M00122	T3J_bin_6,T3J_bin_3,T3J_bin_7,T3J_bin_17,T3J_bin_11,T3J_bin_12,T3J_bin_14,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_2,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_22,T3C_bin_38,T3C_bin_23	0.3333333333333333	48	0.4375	16
Guanine ribonucleotide degradation, GMP => Urate	0.5655711957292807	0.45202419198027344	0.3773190835929402	Jelly	M00959	T3J_bin_6,T3J_bin_3,T3J_bin_7,T3J_bin_17,T3J_bin_18,T3J_bin_13,T3J_bin_12,T3C_bin_11,T3C_bin_29,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_35,T3C_bin_2,T3C_bin_18,T3C_bin_34,T3C_bin_27,T3C_bin_22,T3C_bin_38,T3C_bin_44,T3C_bin_42,T3C_bin_6,T3C_bin_23	0.3333333333333333	48	0.4375	16
Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	0.5470085478635579	0.45954258252345836	0.3773190835929402	Jelly	M00925	T3J_bin_2,T3J_bin_17,T3J_bin_13,T3J_bin_14,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_35,T3C_bin_38,T3C_bin_44	0.16666666666666666	48	0.25	16
Fumarate reductase, prokaryotes	0.5470085472618614	0.45954258277035154	0.3773190835929402	Control	M00150	T3J_bin_3,T3J_bin_11,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_18,T3C_bin_32,T3C_bin_27,T3C_bin_38,T3C_bin_39,T3C_bin_24,T3C_bin_23	0.20833333333333337	48	0.125	16
Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	0.5254515710961549	0.4685254159120139	0.3773190835929402	Control	M00167	T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_16,T3J_bin_1,T3J_bin_12,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_9,T3C_bin_7,T3C_bin_20,T3C_bin_35,T3C_bin_19,T3C_bin_2,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_22,T3C_bin_13,T3C_bin_8,T3C_bin_38,T3C_bin_39,T3C_bin_45,T3C_bin_43,T3C_bin_33,T3C_bin_24,T3C_bin_23	0.4791666666666667	48	0.375	16
